Time Series,IMFs,Metric,alpha,tau,W init,fs,tol
Delhi temerature,2 - 3,BIC,500,1,501,0,1e-06
Delhi temerature,2 - 4,BIC,0,0,False,0,1e-06
Delhi temerature,2 - 5,BIC,0,0,False,0,1e-06
