Time Series,Metric,Trend/Season/Noise,IMFs,alpha,tau,W init
Dehli-Temerature,R2,Trend,1 --- 1,30000,0,1
Dehli-Temerature,R2,Season,2 --- 2,0,0,1
Dehli-Temerature,R2,Season,2 --- 3,2500,3,501
Dehli-Temerature,R2,Season,2 --- 4,50000,4,1
