Time Series,R2Adj
TS1,-0.5023697365549622
TS2,-42.523257507387584
TS3,-1.6614795356852228
TS4,-2.282974536666164
TS5,-3144.979064429572
TS6,-4480.307630251862
TS7,-205.9026665310305
TS8,0.9380978615071047
TS9,0.9745972904338795
TS10,0.05070189292015892
TS11,0.19370524832191693
TS12,0.9812863797673911
TS13,0.9952542541302485
TS14,-0.620060400107953
TS15,-0.22844588108193786
TS16,-0.37986707664701136
TS17,-0.22184757874182703
TS18,0.8140452342007617
TS19,0.9384876878842053
TS20,0.5843873130401015
TS21,0.6187619461527774
