Time Series,R2
TS1,-3.8213737405737893
TS2,-41.44773006881764
TS3,-6.420717206797759
TS4,0.04984152210168691
TS5,-1423.1211613901153
TS6,-21514.813124461514
TS7,-281.5241713569384
TS8,0.9356647420170829
TS9,0.9524761271647113
TS10,0.11713817078535238
TS11,-0.38230543923453886
TS12,0.9480309615775201
TS13,0.9875911475760841
TS14,0.1708550549958906
TS15,0.07954823382874154
TS16,0.2594650854054452
TS17,0.18265833467547876
TS18,0.6500245007021388
TS19,0.9480592333925695
TS20,0.6159117336030651
TS21,0.5597838469944427
