Time Series,R2Adj
TS1,0.9062360634318196
TS2,0.8906185751381377
TS3,0.9065409361934063
TS4,0.9003493608444432
TS5,0.9055854857764284
TS6,0.9073867561207024
TS7,0.9091852026684965
TS8,0.9032558910302724
TS9,0.889461766258842
TS10,-0.923807599810611
TS11,-8.05424037788952
TS12,0.9062077849212962
TS13,0.9060933150051027
TS14,0.8129536970608344
TS15,0.13103484521525344
TS16,0.7846477975255242
TS17,0.45416307994980853
TS18,0.906574613719773
TS19,0.9055258487216808
TS20,0.8656381681395782
TS21,0.7895353885260165
