Time Series,R2Adj
TS1,-3.8537319535977748
TS2,-41.73261416323924
TS3,-6.470520677984321
TS4,0.043464619565456664
TS5,-1432.679021533673
TS6,-21659.214554827027
TS7,-283.42030673517286
TS8,0.9352329617621641
TS9,0.9521571749980315
TS10,0.11121292360941515
TS11,-0.39158265694752226
TS12,0.9476821760847518
TS13,0.987507866687333
TS14,0.16529032382136633
TS15,0.07337070519671973
TS16,0.2544950524215892
TS17,0.17717282014309943
TS18,0.6476756718477907
TS19,0.9477106376435264
TS20,0.6133339600030856
TS21,0.556829376168902
