Time Series,R2
TS1,0.9065488183903525
TS2,0.8909834231196649
TS3,0.9068526742314535
TS4,0.9006817512352222
TS5,0.9059004107738385
TS6,0.9076956728781383
TS7,0.9094881206048924
TS8,0.9035785865238338
TS9,0.8898304728423682
TS10,-0.917390629831256
TS11,-8.024039442673077
TS12,0.906520634204414
TS13,0.906406546109155
TS14,0.8135776006730397
TS15,0.13393332805309444
TS16,0.7853661170801421
TS17,0.45598375013009607
TS18,0.9068862394245103
TS19,0.9058409726418887
TS20,0.8660863396934821
TS21,0.7902374052420738
