Time Series,R2
TS1,-0.4973584966064801
TS2,-42.37808319949103
TS3,-1.6526020188884076
TS4,-2.272023987844729
TS5,-3134.485471819734
TS6,-4465.359973046219
TS7,-205.2125308854967
TS8,0.9383043396208235
TS9,0.9746820226205577
TS10,0.053868330902413164
TS11,0.19639469045559965
TS12,0.9813488001150649
TS13,0.995270083836285
TS14,-0.6146565962383466
TS15,-0.22434832977746177
TS16,-0.37526445130796193
TS17,-0.2177720364511606
TS18,0.8146654969285777
TS19,0.9386928657098084
TS20,0.5857736128631832
TS21,0.6200335874264506
