Residual 2,Noise
-0.2833675278331178,-0.4103328772607179
-2.8825666678976702,-2.736984549646492
-3.137055344595101,-2.4166932177063627
-1.7107947913174328,-1.8061135729850937
-4.464471513374452,-3.8674424453837917
-3.595729355139058,-3.4735478278507186
-3.7474567966788648,-3.588845442721418
-2.063356752131977,-1.7906153832348974
2.8907562076754836,2.2438664536799764
-0.2711330777590675,0.02709616415422389
4.274601921742933,3.5312114076626666
2.4232453393234525,2.805473687618357
4.107246090085077,3.5210646706950706
0.9836355336538141,0.9698427047843078
2.746169663076209,2.7540388943898195
1.7402753017053794,1.6551568107887045
4.288014370687094,3.9760879579918873
1.5188948776261348,1.334258174046358
0.09447733553540338,0.23008095922829586
-1.2289322784705217,-0.7555655369070482
-1.454937463077858,-1.614245661199683
-3.303518278394254,-2.5563151830620208
1.0030425058274623,0.770538680536402
0.6442489667604008,0.625914973902988
-1.1293104544139307,-1.0811179624966785
-0.9127986602661853,-0.7523924664136412
-0.9339699020713521,-1.0672959974074816
0.8366003957795307,0.4869742743005098
-0.05540368585960742,-0.07561969194781348
0.35032526569151656,0.4043237356736443
1.648628043508218,1.5688502726921065
1.2596153564305599,1.5107159590345816
1.3426864047681075,1.072392266009487
2.8682813914107665,2.582060537124686
2.1301356532942552,1.915218030859162
1.1750906019643725,0.937735620384436
1.083735941223864,0.8273213778541768
-0.10186169445365145,0.09411517037425723
-1.8355704668670185,-1.4948075114119057
-0.5653130112097076,-0.7400528175510341
-0.8942369720693826,-1.0637927494680952
-0.40925994383215425,-0.4204576918205446
-1.0912173259420825,-1.0362907483183248
-0.2845748077581698,-0.2979946959557571
0.6140905966125532,0.6917181514067617
2.2972823993625227,1.7561933689623939
-2.565806843050101,-1.9235878260176709
-3.4953830809902424,-2.981432663520407
-1.7700152701612266,-1.8548214173364355
-1.7246062341409187,-1.475037232257384
-0.09743367662103264,0.07558647751611154
1.946296580134069,1.522776339340507
2.2310865301355696,1.9589724009666454
-1.0372180200084635,-0.9211442506163626
-1.8117741530353664,-1.8189110486905546
-1.9984061403932731,-2.0412400448026045
-1.2237401809880897,-0.7953780676704242
1.4908009859889528,0.7416052816734746
-0.0643591431057251,-0.2611793172695851
-2.330322854208644,-1.768762043927261
-0.8664778236382435,-1.172954512400336
-0.7223221044674926,-0.789640590822437
-2.644752854931998,-1.943396688672779
0.3971993694633289,0.2868113136989976
0.14366483310131128,0.37557318802350237
2.4649171808160095,2.474937389044752
2.953700676197753,2.555192213219695
3.9901764958045525,3.9953162106209663
1.484770510884052,1.3357401973864218
2.1308005179759184,2.0148670038283067
1.4317417192217432,1.263063314998719
-0.7620280488709705,-0.1999780048860761
-0.15737875647015342,-0.0013355513636436056
1.436507697114056,0.9223546874702787
-2.6075065667135657,-2.2444450375690956
-0.501298799912248,-0.7425895584625342
0.048850330445320056,-0.10234248345701252
-1.0881567124647455,-0.39651683973159946
5.3410565091968545,4.306586532047911
-0.17653068849659692,0.19145127012835683
1.0463352759213145,1.0748681730949445
2.9730385689267123,2.569706209112786
2.433843214221076,1.914699272975723
-1.1970331177830658,-0.9965906733033694
-0.6900513964070614,-0.6842187106775252
-3.9758966556728415,-3.6647928506270615
-2.708985256902098,-2.4653358433322414
-4.074812824267303,-3.558165006224466
-2.0410864159221327,-2.3012211182407536
-2.551799814819958,-2.1497565632043587
-0.6040154447457216,-0.9222854688632611
-1.0237055248902944,-1.1856562607083527
-0.18366991813833367,-0.3110824721046365
-1.970756994608395,-1.7394638524867012
-1.1699963374204754,-0.9746494404046726
-1.1293302876754474,-0.9786804364589615
1.9363638079489505,1.5025402350457684
1.311014034285792,1.5279400886508285
2.5617107386891664,2.473250615339141
2.1960520930353282,2.1464460435105917
2.008857137692426,1.6738696895931597
0.6959426318806932,1.046803612870541
1.8591739009159483,1.3243909113200791
-0.24381075852229372,0.12967042691609176
-0.413647060102476,-0.246351488183726
3.2829934017867197,2.7304948330422114
0.21514812256597438,0.2506728901748152
1.1633131503423417,1.1354683517901387
-0.9757058736069499,-0.5846556865488514
1.203692637009997,1.0388959872577708
-1.9096931452817483,-1.5520378843310163
-2.378726807419123,-2.0629125875894987
-1.3300936550277171,-1.0519776410234136
0.10681759487233666,0.3965730673702909
0.7245970128915751,0.4923334323211944
-0.7707638968578845,-0.6730306557124813
0.2708412865921561,0.13200541717551373
-0.51819162395127,-0.5044405498716901
0.8240188470839547,0.6465251351066552
-0.3560161772905701,-0.4306787429046106
0.17260587934654126,-0.020865414125433912
-2.0215017093774854,-1.963791811861137
-3.456147365958702,-3.0607815837095944
0.639499420068069,0.13917047297503915
0.24727195748908049,0.40425734021387777
0.21029932889010805,0.27095861489776507
0.17337299509001358,-0.028735485245925674
1.6531622286218024,1.5677991819511363
1.3057107843536375,1.2613314202073551
0.895899158937195,0.6556515008441899
-2.457971916634464,-2.4165951170246815
-3.455474929829112,-3.092820613894409
-1.7203466860420553,-1.842205621699848
-1.263447774271258,-1.2731791775454704
-0.6574165856355947,-0.5551305503796797
-0.768951978446303,-0.8120172731443196
-1.037392197070048,-1.281903860377181
-2.5560500755971827,-2.2966644675245154
1.285459226265159,1.0651450584458175
2.2752518932999095,2.295243313532861
1.80140079532522,2.1157788264287567
