Residual 1,Seson
-12.65714254476011,-12.373775016926992
-15.253450360752309,-12.370883692854639
-15.490584685548317,-12.353529340953216
-14.017027352417275,-12.306232561099842
-16.71331127518386,-12.248839761809407
-15.761594813384654,-12.165865458245596
-15.81691414460138,-12.069457347922516
-14.02278895100154,-11.959432198869564
-8.948162473549736,-11.83891868122522
-12.000766594836406,-11.729633517077339
-7.3403207707684555,-11.614922692511389
-9.090879675224695,-11.514125014548148
-7.298073539418118,-11.405319629503195
-10.324066755543098,-11.307702289196913
-8.464796041774123,-11.210965704850333
-9.368919922202737,-11.109195223908117
-6.720727909320313,-11.008742280007407
-9.39599154957804,-10.914886427204175
-10.730492109246537,-10.82496944478194
-11.952950233743751,-10.72401795527323
-12.060266796609945,-10.605329333532087
-13.783924252940416,-10.480405974546162
-9.327857508273183,-10.330900014100646
-9.535971455625793,-10.180220422386194
-11.15814246855576,-10.028832014141829
-10.783674657769515,-9.87087599750333
-10.639669563380881,-9.705699661309529
-8.70570785139323,-9.54230824717276
-9.444261892565912,-9.388858206706304
-8.884071756824047,-9.234397022515564
-7.42832371828624,-9.076951761794458
-7.658093383389318,-8.917708739819878
-7.40802570309523,-8.750712107863338
-5.72172756553168,-8.590008956942446
-6.309631549295506,-8.439767202589762
-7.121546775512876,-8.296637377477248
-7.078476253190871,-8.162212194414735
-8.136055816034167,-8.034194121580516
-9.73346860858085,-7.897898141713831
-8.313632116528636,-7.748319105318928
-8.4961469655997,-7.601909993530317
-7.8691569030262265,-7.459896959194072
-8.408118910693263,-7.3169015847511805
-7.454843195762599,-7.17026838800443
-6.407000819602409,-7.021091416214962
-4.573107703556246,-6.870390102918769
-9.297143996450027,-6.7313371533999256
-10.064989612879023,-6.56960653188878
-8.156364253912686,-6.38634898375146
-7.924686133523938,-6.200079899383019
-6.101084464185551,-6.003650787564518
-3.854085532504506,-5.800382112638575
-3.3789277242023026,-5.610014254337872
-6.465600807818337,-5.428382787809873
-7.05486332870203,-5.243089175666664
-7.055005667870734,-5.056599527477461
-6.091854587651632,-4.868114406663542
-3.177939878734012,-4.668740864722965
-4.555902763110815,-4.49154362000509
-6.650902741888288,-4.320579887679644
-4.999504165940223,-4.13302634230198
-4.674229225753766,-3.9519071212862737
-6.415093821957079,-3.770340967025081
-3.1689048303981835,-3.5661041998615124
-3.2164171180742294,-3.3600819511755406
-0.6815312066343253,-3.146448387450335
0.020585883824683293,-2.9331147923730696
1.2583439137960255,-2.731832582008527
-1.048763939650975,-2.533534450535027
-0.208875334564528,-2.3396758525404464
-0.7202680696306061,-2.1520097888523493
-2.7290844024644763,-1.9670563535935057
-1.9218906988774265,-1.764511942407273
-0.12012805221775835,-1.5566357493318144
-3.9709732836416833,-1.3634667169281176
-1.663596281929749,-1.162297482017501
-0.9203548487778406,-0.9692051792231606
-1.866306602109649,-0.7781498896449035
4.768127609654062,-0.5729288995427922
-0.571594331466251,-0.3950636429696541
0.8333567315645602,-0.21297854435675417
2.9438118314601383,-0.029226737466573935
2.570506620510699,0.13666340628962298
-0.9118907555269686,0.285142362256097
-0.25435213747396546,0.43569925893309597
-3.386296155144887,0.5896005005279544
-1.9561771453051833,0.752808111596915
-3.145920043784187,0.9288927804831161
-0.9215577872970755,1.1195286286250572
-1.2446123797506097,1.3071874350693482
0.8988238870787981,1.5028393318245197
0.666343195306009,1.6900487201963035
1.6839438006254568,1.8676137187637905
0.07076934709756699,2.041526341705962
1.0510857886748042,2.2210821260952796
1.279497094309761,2.4088273819852084
4.534106221552911,2.59774241360396
4.085239000727135,2.774224966441343
5.5141100852830895,2.952399346593923
5.324447734282405,3.1283956412470766
5.306407647413614,3.2975505097211886
4.153104722524834,3.4571620906441405
5.479854293206483,3.6206803922905344
3.5260808895284512,3.769891648050745
3.5130974648994737,3.9267445250019497
7.370021298020809,4.08702789623409
4.443656587558738,4.228508464992764
5.529778878311454,4.366465727969112
3.5287501801032555,4.504456053710205
5.8560359063637115,4.652343269353715
2.8875529893541554,4.797246134635904
2.574168082223693,4.952894889642816
3.7900670128401863,5.1201606678679035
5.4049911168440055,5.298173521971669
6.207891081954823,5.483294069063248
4.890742449149883,5.6615063460077675
6.1088232535082945,5.837981966916138
5.490672507688089,6.008864131639359
6.999255713115069,6.175236866031114
5.9773412204643,6.33335739775487
6.656380606836379,6.483774727489838
4.603383722554764,6.624885431932249
3.3095313757930036,6.765678741751706
7.5531012355732265,6.9136018155051575
7.292003440552698,7.044731483063617
7.385365149547127,7.175065820657019
7.476964536833144,7.30359154174313
9.07499376393687,7.421831535315068
8.837804797397784,7.532094013044146
8.531760795712373,7.635861636775178
5.269562106349667,7.727534022984131
4.362287067314213,7.817761997143325
6.194596931168753,7.914943617210809
6.743068622081786,8.006516396353044
7.435620024040048,8.093036609675643
7.410325720930171,8.179277699376474
7.2212110143879364,8.258603211457984
5.771555370934966,8.327605446532148
9.683283544759156,8.397824318493997
10.733677009311315,8.458425116011405
10.316792608612712,8.515391813287492
11.04166691070104,8.576339130352066
11.778603175530595,8.620417838763787
12.702100727771516,8.651593160635905
12.988902448493423,8.6717188390001
12.080400566738689,8.682273770474298
10.158721817726637,8.672483958331577
9.65820371555133,8.656044907040542
8.496291575979285,8.630028967796635
6.587531633946117,8.594532382180276
8.029780662116142,8.572560940814927
6.431894771584698,8.537193125431639
6.845576168138738,8.512182087617843
10.056775256954126,8.486418936609187
10.333044974378936,8.449236161342817
11.661386476835066,8.408916223243821
5.82280019625286,8.341386190500298
8.565979187865146,8.28448748219985
8.800442724922831,8.21915099922442
10.799179883303903,8.153560568152036
11.295353035959458,8.079534137110143
4.8920950796037275,7.985733578391986
8.90100375293764,7.912692779262666
4.640870588789884,7.8210842270399565
4.992839776796764,7.735155512539212
5.601936686623937,7.653057650852977
1.9291958985166318,7.566338779689342
1.8217332221972988,7.503585915984824
3.360491390271857,7.4443527740954485
4.822312495631056,7.3938813209228185
7.970451524406158,7.342182046819519
9.810944246617773,7.287765414425579
10.592006504724022,7.22504275183602
10.192693731851715,7.141505886803812
8.202124041188029,7.058226919100235
5.65837521764454,6.980512567177382
5.769911250629534,6.914588792967493
6.533364939222594,6.863955386411371
6.605733260056098,6.8141464501889155
8.355643696633958,6.765431312781396
7.939107982238372,6.716454441567726
8.96047681692071,6.669903518843219
8.25817027533743,6.6084507942977835
6.7008136869754935,6.544709035139786
7.511049156453634,6.488501030313828
7.9415410458031275,6.433502047254395
6.154888445605337,6.3705273745844835
6.33722094603219,6.30529575854034
5.01817038125456,6.241755584308227
4.195951141277934,6.181878384891985
4.951421740777299,6.1282805752191525
7.703478922471369,6.078668688721437
4.091685947032069,6.018335247920855
6.9589764986819915,5.979930015463385
5.946884137858309,5.946588899136766
6.937986218979766,5.910316222935781
5.059326089385024,5.86884231108298
6.307482820917144,5.8254864287697385
6.9409814695337175,5.771473666845034
5.717337347827801,5.699230704150953
2.080498396263863,5.62372579359129
3.4663131938858385,5.559731452307776
4.7798816775550215,5.50231056226369
7.1418968210778075,5.454628430144125
5.015251462011484,5.396373193501198
3.6405160607632183,5.349309310727094
5.304888967693156,5.311992773668724
5.44596623414856,5.275144332103289
7.585273544868354,5.240923820563431
6.306356684202516,5.196941657902346
5.816233848672159,5.150648833766172
4.152703893397241,5.112166428019873
5.319289441551096,5.077961691970236
6.890831934280925,5.044526345233645
7.819025562653433,5.012527600493998
7.81678129467652,4.98328779880311
4.827625505611586,4.941620839188222
2.506072498352495,4.900074387515785
3.7105907257413655,4.8756938514157495
3.824200767978283,4.860364219153173
2.4765017818911126,4.849287948174216
4.716718582362688,4.8466728872297855
5.273769128080229,4.8374204994603245
4.76871011297909,4.819399411498955
6.0061847685281045,4.809705224475058
4.9113867752276406,4.799691925860835
2.9526141917090705,4.78532664641696
1.819544875496323,4.784461733298752
2.617327546761132,4.796661093115679
3.4929306519903776,4.807873236822555
3.290090439025491,4.826642069037967
2.4610418411237447,4.846811194543171
3.3873584166047372,4.8614390396497225
4.188538412287134,4.8759448067546955
6.270884789606878,4.894646778856377
6.951673387093592,4.909428051525981
3.926551592290778,4.914899174189141
6.886524262924851,4.934533104312265
7.0015982114644295,4.940503236816889
4.98418222595695,4.934514422423292
6.323309613224541,4.92771946063689
3.9747442965393134,4.916730044327857
3.7892896161514003,4.908003869709583
4.766736567336533,4.901735397884904
6.595277268181139,4.900084680242637
7.466592300859443,4.889526052917441
6.412834153634972,4.873553801112278
6.340855298391997,4.862025876077317
5.231823869477999,4.837674616551219
5.483270871320027,4.807790481200114
2.6391300506936197,4.776232982508119
5.614369892179681,4.756802011249128
4.2585435592022876,4.7328442566679145
5.4313446490404935,4.701536352618889
5.723693669731379,4.667135890167127
5.6851249708400005,4.627594944404719
5.027000674444036,4.585762872322849
6.140222222672229,4.537412231703742
4.185137307478097,4.470764099939068
3.7717750392024527,4.401152315927441
3.6582788827131907,4.338598930648042
4.302762912790488,4.279577017600302
3.174532400121741,4.199486743341235
-0.28425469770676415,4.11362474622175
2.8411368965987798,4.04100739174298
4.787526918358651,3.9634569308996603
5.25866878673175,3.8697639024838644
3.0866597388923793,3.773340905511424
2.7153895993075032,3.6804942485958887
