Original signal,Trend
10.0,22.65714254476011
7.4,22.65345036075231
7.166666666666667,22.657251352214985
8.666666666666666,22.68369401908394
6.0,22.71331127518386
7.0,22.761594813384654
7.0,22.81691414460138
8.857142857142858,22.8799318081444
14.0,22.948162473549736
11.0,23.000766594836406
15.714285714285714,23.05460648505417
14.0,23.090879675224695
15.833333333333334,23.13140687275145
12.833333333333334,23.157400088876432
14.714285714285714,23.179081756059837
13.833333333333334,23.20225325553607
16.5,23.220727909320313
13.833333333333334,23.229324882911374
12.5,23.230492109246537
11.285714285714286,23.238664519458037
11.2,23.260266796609944
9.5,23.283924252940416
14.0,23.327857508273183
13.833333333333334,23.369304788959127
12.25,23.40814246855576
12.666666666666666,23.45034132443618
12.857142857142858,23.49681242052374
14.833333333333334,23.539041184726564
14.125,23.569261892565912
14.714285714285714,23.59835747110976
16.2,23.62832371828624
16.0,23.658093383389318
16.285714285714285,23.693739988809515
18.0,23.72172756553168
17.428571428571427,23.738202977866933
16.625,23.746546775512876
16.666666666666668,23.74514291985754
15.6,23.736055816034167
14.0,23.73346860858085
15.428571428571429,23.742203545100065
15.25,23.7461469655997
15.875,23.744156903026227
15.333333333333334,23.741452244026597
16.285714285714285,23.740557481476884
17.333333333333332,23.74033415293574
19.166666666666668,23.739774370222914
14.428571428571429,23.725715425021455
13.666666666666666,23.73165627954569
15.6,23.756364253912686
15.857142857142858,23.781828990666796
17.714285714285715,23.815370178471266
20.0,23.854085532504506
20.5,23.878927724202303
17.428571428571427,23.894172236389764
16.857142857142858,23.912006185844888
16.875,23.930005667870734
17.857142857142858,23.94899744479449
20.8,23.977939878734013
19.428571428571427,23.984474191682242
17.333333333333332,23.98423607522162
19.0,23.999504165940223
19.33333333333333,24.007562559087095
17.6,24.01509382195708
20.875,24.043904830398183
20.857142857142858,24.073559975217087
23.428571428571427,24.110102635205752
24.166666666666668,24.146080782841985
25.428571428571427,24.1702275147754
23.142857142857142,24.191621082508117
24.0,24.208875334564528
23.5,24.220268069630606
21.5,24.229084402464476
22.33333333333333,24.255224032210755
24.166666666666668,24.286794718884426
20.33333333333333,24.304306616975012
22.666666666666668,24.330262948596417
23.428571428571427,24.348926277349268
22.5,24.36630660210965
29.166666666666668,24.398539057012606
23.83333333333333,24.40492766479958
25.25,24.41664326843544
27.375,24.43118816853986
27.0,24.4294933794893
23.5,24.41189075552697
24.142857142857142,24.397209280331108
21.0,24.386296155144887
22.428571428571427,24.38474857387661
21.25,24.395920043784187
23.5,24.421557787297075
23.2,24.44461237975061
25.375,24.476176112921202
25.166666666666668,24.50032347136066
26.2,24.516056199374543
24.6,24.529230652902434
25.6,24.548914211325197
25.857142857142858,24.577645762833097
29.142857142857142,24.60875092130423
28.714285714285715,24.62904671355858
30.166666666666668,24.65255658138358
30.0,24.675552265717595
30.0,24.693592352586386
28.857142857142858,24.704038134618024
30.2,24.720145706793517
28.25,24.72391911047155
28.25,24.736902535100526
32.125,24.75497870197919
29.2,24.75634341244126
30.285714285714285,24.75593540740283
28.285714285714285,24.75696410561103
30.625,24.76896409363629
27.666666666666668,24.779113677312512
27.375,24.800831917776307
28.625,24.834932987159814
30.285714285714285,24.88072316887028
31.142857142857142,24.93496606090232
29.875,24.984257550850117
31.142857142857142,25.034033889348848
30.571428571428573,25.080756063740484
32.125,25.12574428688493
31.142857142857142,25.165515922392842
31.857142857142858,25.20076225030648
29.83333333333333,25.229949610778565
28.571428571428573,25.26189719563557
32.857142857142854,25.304041621569628
32.625,25.332996559447302
32.75,25.364634850452873
32.875,25.398035463166856
34.5,25.42500623606313
34.285714285714285,25.4479094883165
34.0,25.468239204287627
30.75,25.480437893650333
29.857142857142858,25.494855789828645
31.714285714285715,25.519688783116962
32.285714285714285,25.5426456636325
33.0,25.56437997595995
33.0,25.58967427906983
32.833333333333336,25.6121223189454
31.4,25.628444629065033
35.333333333333336,25.65004978857418
36.4,25.666322990688684
36.0,25.68320739138729
36.75,25.70833308929896
37.5,25.721396824469405
38.42857142857143,25.726470700799915
38.71428571428572,25.7253832657923
37.8,25.71959943326131
35.857142857142854,25.698421039416218
35.333333333333336,25.675129617782005
34.142857142857146,25.64656556687786
32.2,25.612468366053886
33.625,25.595219337883858
32.0,25.568105228415302
32.4,25.55442383186126
35.6,25.543224743045876
35.857142857142854,25.524097882763918
37.16666666666666,25.50528018983159
31.285714285714285,25.462914089461425
34.0,25.434020812134854
34.2,25.39955727507717
36.16666666666666,25.367486783362754
36.625,25.329646964040542
30.166666666666668,25.27457158706294
34.142857142857146,25.241853389919505
29.83333333333333,25.192462744543445
30.142857142857142,25.15001736606038
30.714285714285715,25.11234902766178
27.0,25.07080410148337
26.875,25.0532667778027
28.4,25.03950860972814
29.857142857142858,25.0348303615118
33.0,25.02954847559384
34.833333333333336,25.022389086715563
35.6,25.00799349527598
35.166666666666664,24.97397293481495
33.142857142857146,24.940733101669117
30.571428571428573,24.913053353784033
30.666666666666668,24.896755416037134
31.428571428571427,24.895206489348833
31.5,24.8942667399439
33.25,24.89435630336604
32.833333333333336,24.894225351094963
33.857142857142854,24.896666040222144
33.142857142857146,24.884686867519715
31.571428571428573,24.87061488445308
32.375,24.863950843546366
32.8,24.85845895419687
31.0,24.845111554394663
31.166666666666668,24.829445720634478
29.83333333333333,24.81516295207877
