Time Series,Metric,alpha,tau,K,DC,init,tol,IMFs
Delhi temerature,R2,1000,0,5,False,2,1e-06,F - SumIMFs(1 - 3)
Delhi temerature,R2_Adj,1000,0,5,False,2,1e-06,F - SumIMFs(1 - 3)
Delhi temerature,AIC,1000,0,5,False,2,1e-06,F - SumIMFs(1 - 3)
Delhi temerature,BIC,1000,0,5,False,2,1e-06,F - SumIMFs(1 - 3)
