Time Series,Metric,alpha,tau,K,DC,init,tol,IMFs
TS8,R2,20000,0,5,False,2,1e-06,F - SumIMFs(1 - 2)
TS8,R2_Adj,20000,0,5,False,2,1e-06,F - SumIMFs(1 - 2)
TS8,AIC,20000,0,5,False,2,1e-06,F - SumIMFs(1 - 2)
TS8,BIC,20000,0,5,False,2,1e-06,F - SumIMFs(1 - 2)
TS9,R2,20000,0,7,True,2,1e-06,F - SumIMFs(1 - 2)
TS9,R2_Adj,20000,0,7,True,2,1e-06,F - SumIMFs(1 - 2)
TS9,AIC,20000,0,7,True,2,1e-06,F - SumIMFs(1 - 2)
TS9,BIC,20000,0,7,True,2,1e-06,F - SumIMFs(1 - 2)
TS10,R2,20000,0,5,True,0,1e-06,F - SumIMFs(1 - 2)
TS10,R2_Adj,20000,0,5,True,0,1e-06,F - SumIMFs(1 - 2)
TS10,AIC,20000,0,5,True,0,1e-06,F - SumIMFs(1 - 2)
TS10,BIC,20000,0,5,True,0,1e-06,F - SumIMFs(1 - 2)
TS11,R2,20000,0,7,True,0,1e-06,F - SumIMFs(1 - 2)
TS11,R2_Adj,20000,0,7,True,0,1e-06,F - SumIMFs(1 - 2)
TS11,AIC,20000,0,7,True,0,1e-06,F - SumIMFs(1 - 2)
TS11,BIC,20000,0,7,True,0,1e-06,F - SumIMFs(1 - 2)
TS12,R2,5000,0,7,False,0,1e-06,F - SumIMFs(1 - 4)
TS12,R2_Adj,5000,0,7,False,0,1e-06,F - SumIMFs(1 - 4)
TS12,AIC,5000,0,7,False,0,1e-06,F - SumIMFs(1 - 4)
TS12,BIC,5000,0,7,False,0,1e-06,F - SumIMFs(1 - 4)
TS13,R2,5000,0,7,False,2,1e-06,F - SumIMFs(1 - 3)
TS13,R2_Adj,5000,0,7,False,2,1e-06,F - SumIMFs(1 - 3)
TS13,AIC,5000,0,7,False,2,1e-06,F - SumIMFs(1 - 3)
TS13,BIC,5000,0,7,False,2,1e-06,F - SumIMFs(1 - 3)
TS14,R2,20000,0,7,False,2,1e-06,F - SumIMFs(1 - 3)
TS14,R2_Adj,20000,0,7,False,2,1e-06,F - SumIMFs(1 - 3)
TS14,AIC,20000,0,7,False,2,1e-06,F - SumIMFs(1 - 3)
TS14,BIC,20000,0,7,False,2,1e-06,F - SumIMFs(1 - 3)
TS15,R2,20000,0,3,False,2,1e-06,F - SumIMFs(1 - 2)
TS15,R2_Adj,20000,0,3,False,2,1e-06,F - SumIMFs(1 - 2)
TS15,AIC,20000,0,3,False,2,1e-06,F - SumIMFs(1 - 2)
TS15,BIC,20000,0,3,False,2,1e-06,F - SumIMFs(1 - 2)
TS16,R2,10000,0,5,True,0,1e-06,F - SumIMFs(1 - 2)
TS16,R2_Adj,10000,0,5,True,0,1e-06,F - SumIMFs(1 - 2)
TS16,AIC,10000,0,5,True,0,1e-06,F - SumIMFs(1 - 2)
TS16,BIC,10000,0,5,True,0,1e-06,F - SumIMFs(1 - 2)
TS17,R2,10000,0,7,True,0,1e-06,F - SumIMFs(1 - 2)
TS17,R2_Adj,10000,0,7,True,0,1e-06,F - SumIMFs(1 - 2)
TS17,AIC,10000,0,7,True,0,1e-06,F - SumIMFs(1 - 2)
TS17,BIC,10000,0,7,True,0,1e-06,F - SumIMFs(1 - 2)
TS18,R2,20000,0,7,True,2,1e-06,F - SumIMFs(1 - 2)
TS18,R2_Adj,20000,0,7,True,2,1e-06,F - SumIMFs(1 - 2)
TS18,AIC,20000,0,7,True,2,1e-06,F - SumIMFs(1 - 2)
TS18,BIC,20000,0,7,True,2,1e-06,F - SumIMFs(1 - 2)
TS19,R2,20000,0,5,True,2,1e-06,F - SumIMFs(1 - 2)
TS19,R2_Adj,20000,0,5,True,2,1e-06,F - SumIMFs(1 - 2)
TS19,AIC,20000,0,5,True,2,1e-06,F - SumIMFs(1 - 2)
TS19,BIC,20000,0,5,True,2,1e-06,F - SumIMFs(1 - 2)
TS20,R2,20000,0,7,True,0,1e-06,F - SumIMFs(1 - 3)
TS20,R2_Adj,20000,0,7,True,0,1e-06,F - SumIMFs(1 - 3)
TS20,AIC,20000,0,7,True,0,1e-06,F - SumIMFs(1 - 3)
TS20,BIC,20000,0,7,True,0,1e-06,F - SumIMFs(1 - 3)
TS21,R2,20000,0,7,True,0,1e-06,F - SumIMFs(1 - 2)
TS21,R2_Adj,20000,0,7,True,0,1e-06,F - SumIMFs(1 - 2)
TS21,AIC,20000,0,7,True,0,1e-06,F - SumIMFs(1 - 2)
TS21,BIC,20000,0,7,True,0,1e-06,F - SumIMFs(1 - 2)
