Time Series,R2,R2_Adj,AIC,BIC
TS1,0.93056,0.93028,2933.03815,2964.91747
TS2,0.99593,0.99591,2147.62721,2179.50653
TS3,0.98765,0.98761,3024.41788,3056.29720
TS4,0.99234,0.99231,1978.64278,2010.52210
