Time Series,Component,R2Adj
TS1,Trend,-0.00335
TS1,Season,-0.00347
TS1,Noise,-0.004572782541024223
TS1,Noise-freg,-0.04688568342669974
TS2,Trend,-0.00335
TS2,Season,-0.00335
TS2,Noise,-0.004575206510807117
TS2,Noise-freg,-0.046884339246457074
TS3,Trend,-0.00335
TS3,Season,-0.00337
TS3,Noise,-0.004572736350610729
TS3,Noise-freg,-0.04688558727268122
TS4,Trend,-0.00335
TS4,Season,-0.00335
TS4,Noise,-0.004575184557519485
TS4,Noise-freg,-0.04688415933967449
