Time Series,Component,AIC
TS1,Trend,8997.26350
TS1,Season,6934.16226
TS1,Noise,9348.907932226108
TS1,Noise-freg,10592.4407470754
TS2,Trend,8997.28079
TS2,Season,10401.32568
TS2,Noise,10899.468356326835
TS2,Noise-freg,11132.6578721027
TS3,Trend,8997.25073
TS3,Season,9614.59414
TS3,Noise,10384.557852252916
TS3,Noise-freg,10919.469158603928
TS4,Trend,8997.28022
TS4,Season,10491.77412
TS4,Noise,9747.845013452354
TS4,Noise-freg,10373.979093615822
