Time Series,Season,R2,R2_Adj,AIC,BIC
TS1,s2,0.73968,0.73899,7666.30347,7697.58770
TS2,s11,-0.01009,-0.01415,7958.01671,7989.89603
TS3,s2,0.85644,0.97659,4052.13534,3490.59546
TS4,s12,0.99163,0.99159,782.98242,814.86174
