Time Series,Metric,Trend/Season/Noise,IMFs,alpha,tau,W init
Dehli-Temerature,AIC,Trend,1 --- 1,2500,0,1001
Dehli-Temerature,AIC,Season,2 --- 2,30000,0,1
Dehli-Temerature,AIC,Season,2 --- 3,30000,0,501
