Time Series,Season,Metric,Trend/Season/Noise,IMFs,alpha,tau,W init
TS1,s2,R2,Season,0 --- 0,0,0,1
TS2,s11,R2,Season,0 --- 0,0,0,1
TS3,s2,R2,Season,0 --- 0,0,0,1
TS4,s12,R2,Season,0 --- 0,0,0,1
